,StudentID,Kinder_Age,Gender,Disability_Non-disable,Disability_Cognitive,Disability_Physical,Disability_Sensory,Disability_SocialEmotional,NCCD-Funded,NumSibling,SiblingOrder,01.SES,02.SES,At_Risk_Numeracy
835,294925135,6.01369863,1,0,1,0,0,0,0,2,2,120,109,True
836,999835363,4.879452055,0,1,0,0,0,0,0,1,1,109,109,False
837,508028330,5.356164384,1,0,0,1,0,0,0,2,1,116,116,False
838,842304898,5.764383562,1,1,0,0,0,0,0,1,1,96,96,False
839,644359087,5.8,0,0,1,0,0,0,0,2,1,113,105,False
840,267456574,5.361643836,1,0,0,0,0,1,1,1,1,95,95,False
841,997662818,4.6,0,1,0,0,0,0,0,2,2,120,120,False
842,241601032,4.947945205,0,1,0,0,0,0,0,2,2,99,99,True
843,524186754,4.638356164,1,1,0,0,0,0,0,2,1,78,78,False
844,181213837,5.369863014,0,1,0,0,0,0,0,3,3,116,116,False
845,551909648,4.701369863,0,1,0,0,0,0,0,2,2,95,95,False
846,871907927,5.257534247,0,1,0,0,0,0,0,2,2,92,87,False
847,891056396,5.484931507,1,1,0,0,0,0,0,1,1,109,109,False
848,732152737,5.353424658,1,1,0,0,0,0,0,3,2,88,88,False
849,142690998,4.517808219,0,0,1,0,0,0,1,3,2,102,102,False
850,440300223,5.279452055,1,1,0,0,0,0,0,3,2,90,90,False
851,781620271,5.632876712,0,1,0,0,0,0,0,2,2,96,96,False
852,983732146,5.095890411,1,0,1,0,0,0,0,2,2,113,113,False
853,617802569,5.750684932,1,1,0,0,0,0,0,2,2,103,103,False
854,702802683,5.797260274,1,1,0,0,0,0,0,2,1,113,113,False
855,863233379,4.923287671,0,1,0,0,0,0,0,4,2,94,94,True
856,127133081,5.654794521,0,1,0,0,0,0,0,2,1,109,109,False
857,245506908,5.621917808,1,0,1,0,0,0,1,3,2,110,110,False
858,715768667,5.64109589,1,0,0,1,0,0,1,2,1,94,94,True
859,537076862,5.843835616,1,1,0,0,0,0,0,2,1,113,105,True
860,127591223,5.164383562,0,1,0,0,0,0,0,1,1,102,102,False
861,278325625,4.654794521,1,1,0,0,0,0,0,2,1,91,91,False
862,513503728,5.726027397,0,0,1,0,0,0,1,1,1,99,94,False
863,601386703,5.764383562,1,1,0,0,0,0,0,2,1,112,112,False
864,223796102,4.797260274,1,1,0,0,0,0,0,3,3,103,103,False
865,489425677,5.416438356,1,1,0,0,0,0,0,1,1,113,113,True
866,228648790,5.136986301,1,1,0,0,0,0,0,2,2,93,93,False
867,945883499,4.75890411,0,1,0,0,0,0,0,2,1,92,92,False
868,150531920,5.501369863,1,0,1,0,0,0,0,4,4,89,89,True
869,284179607,4.882191781,1,1,0,0,0,0,0,3,2,101,101,False
870,230888135,5.032876712,0,0,1,0,0,0,1,1,1,99,94,False
871,488926316,4.95890411,0,1,0,0,0,0,0,2,1,114,114,True
872,234903268,5.402739726,0,1,0,0,0,0,0,1,1,94,94,True
873,531039195,5.649315068,1,0,1,0,0,0,1,2,2,95,95,False
874,951350124,5.128767123,1,1,0,0,0,0,0,2,2,113,105,False
875,822848607,5.95890411,1,1,0,0,0,0,0,2,1,78,78,False
876,923555903,4.698630137,1,1,0,0,0,0,0,3,2,94,94,True
877,710666990,5.380821918,0,1,0,0,0,0,0,2,1,98,98,False
878,429286138,5.389041096,1,1,0,0,0,0,0,2,1,92,92,True
879,194794307,5.271232877,1,0,1,0,0,0,0,1,1,94,94,False
880,777168201,5.079452055,0,1,0,0,0,0,0,2,1,120,120,False
881,876038184,5.136986301,0,1,0,0,0,0,0,2,1,114,114,False
882,700323082,5.64109589,1,1,0,0,0,0,0,2,2,95,95,False
883,718462386,4.97260274,1,0,1,0,0,0,1,1,1,99,94,False
884,316065624,5.876712329,1,1,0,0,0,0,0,2,1,101,101,False
885,136881691,5.01369863,1,1,0,0,0,0,0,2,2,98,98,True
886,940269604,5.010958904,1,1,0,0,0,0,0,3,1,97,97,False
887,514186738,5.843835616,1,0,1,0,0,0,0,2,2,117,108,False
888,800565856,5.331506849,1,1,0,0,0,0,0,4,3,101,101,False
889,116543372,5.421917808,0,1,0,0,0,0,0,5,5,103,103,False
890,541906640,5.15890411,0,0,1,0,0,0,0,1,1,113,102,True
891,362228941,5.131506849,1,0,1,0,0,0,0,3,2,116,116,True
892,769383712,4.616438356,1,0,1,0,0,0,0,1,1,91,89,True
893,283766120,5.210958904,1,1,0,0,0,0,0,2,1,94,94,False
894,656476768,5.290410959,0,1,0,0,0,0,0,1,1,103,103,False
895,530795231,5.210958904,0,1,0,0,0,0,0,3,1,97,97,False
896,884131255,5.032876712,1,1,0,0,0,0,0,2,2,90,90,False
897,164970926,5.076712329,0,1,0,0,0,0,0,2,2,113,105,False
898,193617327,5.668493151,1,1,0,0,0,0,0,3,2,120,120,False
899,553790675,4.893150685,0,0,0,1,0,0,0,1,1,95,95,True
900,515480478,5.438356164,0,1,0,0,0,0,0,2,1,117,117,False
901,221517568,5.15890411,1,0,0,0,0,1,0,1,1,101,101,False
902,666538811,4.901369863,0,1,0,0,0,0,0,3,2,103,103,False
903,508261820,5.18630137,0,0,0,1,0,0,0,2,1,98,98,True
904,560661505,5.37260274,1,1,0,0,0,0,0,2,1,114,102,False
905,466762421,5.808219178,1,1,0,0,0,0,0,2,1,114,114,False
906,839519231,4.665753425,0,1,0,0,0,0,0,4,2,98,98,False
907,491058251,5.671232877,0,1,0,0,0,0,0,1,1,109,109,False
908,950849375,5.443835616,0,1,0,0,0,0,0,4,4,95,95,True
909,417365854,5.301369863,1,0,0,0,0,1,1,2,2,100,100,True
910,813273457,5.843835616,0,0,1,0,0,0,0,3,3,112,112,True
911,125128907,5.350684932,1,1,0,0,0,0,0,2,1,120,120,False
912,489185100,5.104109589,0,0,1,0,0,0,0,2,2,95,95,True
913,840687705,5.279452055,0,1,0,0,0,0,0,3,2,90,90,False
914,534518664,4.95890411,0,1,0,0,0,0,0,2,1,105,105,False
915,120233804,4.997260274,1,1,0,0,0,0,0,2,2,109,109,False
916,222650183,5.136986301,1,1,0,0,0,0,0,2,1,103,103,False
917,912749262,5.249315068,0,1,0,0,0,0,0,1,1,120,120,False
918,689553114,5.520547945,1,0,1,0,0,0,0,3,2,101,101,True
919,693788727,5.457534247,0,0,1,0,0,0,1,3,2,108,108,False
920,832676260,4.849315068,0,1,0,0,0,0,0,2,2,88,88,True
921,423925231,5.235616438,1,0,1,0,0,0,0,3,3,113,113,False
922,180958963,5.301369863,0,0,1,0,0,0,0,2,2,92,92,False
923,158894195,5.394520548,1,0,1,0,0,0,1,3,3,92,92,True
924,540818788,5.539726027,0,0,1,0,0,0,0,1,1,89,89,True
925,692497556,5.402739726,1,1,0,0,0,0,0,2,1,120,120,False
926,958708963,5.693150685,1,0,1,0,0,0,0,4,2,103,103,False
927,804788526,5.452054795,0,1,0,0,0,0,0,3,3,112,112,False
928,333890116,5.117808219,1,1,0,0,0,0,0,2,1,99,99,False
929,353992395,5.339726027,1,1,0,0,0,0,0,3,2,113,113,False
930,895502107,5.095890411,1,1,0,0,0,0,0,3,3,97,97,True
931,767168984,4.887671233,1,0,0,0,1,0,0,3,2,102,102,True
932,421263512,4.698630137,0,0,1,0,0,0,0,3,3,103,103,True
933,514413688,4.816438356,1,1,0,0,0,0,0,4,4,107,107,False
934,604950446,5.273972603,0,0,0,0,0,1,1,2,2,116,116,True
935,266684739,5.457534247,0,1,0,0,0,0,0,4,4,114,114,False
936,535031979,5.854794521,0,0,1,0,0,0,0,1,1,97,97,True
937,582213309,5.115068493,0,0,1,0,0,0,0,2,1,113,113,True
938,251676925,6.073972603,1,0,1,0,0,0,0,2,1,91,91,True
939,537647219,5.498630137,0,1,0,0,0,0,0,2,1,109,109,False
940,583220127,5.509589041,0,1,0,0,0,0,0,3,2,95,92,False
941,131985849,5.24109589,0,0,1,0,0,0,0,1,1,97,97,True
942,730129272,5.580821918,0,1,0,0,0,0,0,6,5,95,95,False
943,614901695,5.021917808,0,1,0,0,0,0,0,2,2,109,109,True
944,573107540,5.131506849,1,1,0,0,0,0,0,2,2,97,97,False
945,843232638,5.391780822,1,1,0,0,0,0,0,3,1,101,101,False
946,823795317,5.243835616,0,1,0,0,0,0,0,1,1,103,103,False
947,107860220,4.830136986,1,0,1,0,0,0,0,2,1,95,95,True
948,373912565,5.854794521,0,1,0,0,0,0,0,2,2,103,103,False
949,118617592,5.380821918,1,1,0,0,0,0,0,1,1,95,92,False
950,808924457,5.120547945,1,1,0,0,0,0,0,2,2,114,114,False
951,230699122,5.375342466,1,1,0,0,0,0,0,4,3,95,95,False
952,260750957,5.438356164,1,1,0,0,0,0,0,2,1,101,101,False
953,444814844,5.378082192,0,1,0,0,0,0,0,2,2,120,120,False
954,546264917,5.24109589,0,0,1,0,0,0,0,2,2,91,91,True
955,189576248,5.221917808,0,1,0,0,0,0,0,1,1,92,94,True
956,381382592,5.350684932,1,1,0,0,0,0,0,1,1,95,93,True
957,466055577,5.747945205,1,1,0,0,0,0,0,1,1,120,120,False
958,570362235,4.75890411,0,0,1,0,0,0,1,5,5,99,99,False
959,889322884,5.808219178,0,1,0,0,0,0,0,3,2,95,95,False
960,965985595,5.328767123,0,1,0,0,0,0,0,2,2,95,95,False
961,630967236,4.893150685,0,1,0,0,0,0,0,3,1,101,101,False
962,137767057,5.257534247,0,1,0,0,0,0,0,3,3,114,114,False
963,133979263,5.219178082,1,1,0,0,0,0,0,2,2,101,101,False
964,882942507,5.016438356,0,1,0,0,0,0,0,1,1,115,115,False
965,345092256,5.328767123,1,0,0,0,0,1,1,3,2,88,88,False
966,193998246,5.279452055,0,1,0,0,0,0,0,2,1,92,92,False
967,828521261,4.98630137,1,0,1,0,0,0,1,3,2,94,94,True
968,602699906,5.438356164,0,0,0,1,0,0,0,2,1,103,103,False
969,391119558,4.605479452,0,0,1,0,0,0,0,4,3,95,95,True
970,150127040,5.498630137,1,1,0,0,0,0,0,2,2,95,95,False
971,491766006,5.863013699,0,1,0,0,0,0,0,2,2,97,97,False
972,423625610,4.783561644,1,0,1,0,0,0,1,3,1,101,96,True
973,640122852,6.016438356,1,1,0,0,0,0,0,4,2,114,114,False
974,157534583,5.830136986,0,0,1,0,0,0,0,3,2,120,109,False
975,435022677,4.854794521,0,1,0,0,0,0,0,3,3,103,103,False
976,446454292,5.482191781,1,0,1,0,0,0,0,2,2,117,117,False
977,810715640,5.142465753,1,1,0,0,0,0,0,3,1,101,101,False
978,566225050,4.904109589,1,1,0,0,0,0,0,3,2,112,112,False
979,172300839,4.895890411,0,1,0,0,0,0,0,1,1,109,109,False
980,888806041,5.350684932,1,1,0,0,0,0,0,2,1,120,120,False
981,580741482,5.597260274,1,1,0,0,0,0,0,1,1,120,120,False
982,550440437,5.4,0,1,0,0,0,0,0,4,1,114,114,False
983,189469532,5.306849315,0,1,0,0,0,0,0,4,4,89,89,False
984,178762464,5.082191781,1,0,1,0,0,0,0,2,1,102,97,False
985,394216417,5.556164384,0,1,0,0,0,0,0,2,2,101,101,False
986,878562064,5.591780822,0,1,0,0,0,0,0,2,1,109,109,False
987,541252030,5.479452055,1,0,1,0,0,0,0,6,3,89,89,False
988,685625325,5.326027397,0,1,0,0,0,0,0,2,2,101,101,False
989,241454566,5.465753425,1,1,0,0,0,0,0,3,1,95,95,False
990,554881754,5.175342466,0,1,0,0,0,0,0,2,2,112,112,False
991,161616142,5.156164384,0,1,0,0,0,0,0,2,1,88,88,False
992,772529134,5.312328767,0,0,1,0,0,0,1,3,1,101,101,False
993,564990997,5.394520548,0,1,0,0,0,0,0,2,2,95,95,False
994,748943908,5.345205479,1,0,0,1,0,0,0,2,1,97,97,False
995,694315107,5.734246575,1,0,0,0,0,1,1,2,1,95,95,False
